DateTime,EventId,EventType,Message,RecordId
2025-05-12 19:46:08,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,40391
2025-05-12 22:35:23,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,40611
2025-05-12 22:35:25,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,40633
2025-05-12 22:35:27,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,40641
2025-05-13 10:12:00,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,40672
2025-05-13 12:00:00,6013,System uptime report,The system uptime is 252460 seconds.,40764
2025-05-13 12:30:27,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,40767
2025-05-13 12:30:28,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,40789
2025-05-13 12:30:30,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,40796
2025-05-13 16:18:23,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,40821
2025-05-13 17:51:48,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,40890
2025-05-13 17:51:50,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,40912
2025-05-13 17:51:51,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,40919
2025-05-13 19:39:27,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,40946
2025-05-13 23:00:25,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,41006
2025-05-13 23:00:27,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,41027
2025-05-13 23:00:28,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,41033
2025-05-14 17:34:02,6013,System uptime report,The system uptime is 358902 seconds.,41045
