DateTime,EventId,EventType,RecordId,SessionTag
2025-09-09 07:38:05,7001,User logon notification,79407,logon
2025-09-09 07:51:59,1074,System shutdown/restart initiated,79494,logoff
2025-09-09 07:52:01,7002,User logoff notification,79514,logoff
2025-09-09 07:52:48,6005,System startup (Event Log service started),79526,logon
2025-09-09 07:52:56,7001,User logon notification,79699,logon
2025-09-09 22:17:52,1074,System shutdown/restart initiated,79842,logoff
2025-09-09 22:17:54,7002,User logoff notification,79863,logoff
2025-09-09 22:18:33,6005,System startup (Event Log service started),79876,logon
2025-09-09 22:18:59,7001,User logon notification,80049,logon
2025-09-10 21:25:12,41,System rebooted without cleanly shutting down,80104,logoff
2025-09-10 21:25:23,6008,Unexpected shutdown (previous shutdown was unexpected),80079,logoff
2025-09-10 21:25:23,6005,System startup (Event Log service started),80081,logon
2025-09-10 21:25:37,7001,User logon notification,80235,logon
2025-09-10 23:10:01,1074,System shutdown/restart initiated,80360,logoff
2025-09-10 23:10:02,1074,System shutdown/restart initiated,80380,logoff
2025-09-10 23:10:02,7002,User logoff notification,80381,logoff
2025-09-11 07:47:45,7001,User logon notification,80408,logon
2025-09-11 20:19:27,1074,System shutdown/restart initiated,80582,logoff
2025-09-11 20:19:28,7002,User logoff notification,80606,logoff
2025-09-11 21:37:13,7001,User logon notification,80628,logon
2025-09-11 23:21:07,1074,System shutdown/restart initiated,80737,logoff
2025-09-11 23:21:09,7002,User logoff notification,80762,logoff
2025-09-12 07:09:31,7001,User logon notification,80781,logon
2025-09-12 09:21:28,1074,System shutdown/restart initiated,80852,logoff
2025-09-12 15:46:08,41,System rebooted without cleanly shutting down,80911,logoff
2025-09-12 15:46:17,6008,Unexpected shutdown (previous shutdown was unexpected),80894,logoff
2025-09-12 15:46:17,6005,System startup (Event Log service started),80896,logon
2025-09-12 15:47:32,7001,User logon notification,81044,logon
2025-09-13 11:19:42,41,System rebooted without cleanly shutting down,81201,logoff
2025-09-13 11:19:51,6008,Unexpected shutdown (previous shutdown was unexpected),81184,logoff
2025-09-13 11:19:51,6005,System startup (Event Log service started),81186,logon
2025-09-13 11:20:38,7001,User logon notification,81332,logon
2025-09-13 19:53:18,1074,System shutdown/restart initiated,81470,logoff
2025-09-13 19:53:19,1074,System shutdown/restart initiated,81495,logoff
2025-09-13 19:53:19,7002,User logoff notification,81496,logoff
2025-09-14 09:42:45,7001,User logon notification,81524,logon
2025-09-14 10:02:21,1074,System shutdown/restart initiated,81593,logoff
2025-09-14 10:02:23,7002,User logoff notification,81618,logoff
2025-09-14 13:29:27,7001,User logon notification,81640,logon
2025-09-14 14:16:49,1074,System shutdown/restart initiated,81700,logoff
2025-09-14 14:16:50,7002,User logoff notification,81725,logoff
2025-09-14 15:41:38,7001,User logon notification,81746,logon
2025-09-14 22:42:12,1074,System shutdown/restart initiated,81811,logoff
2025-09-14 22:42:14,7002,User logoff notification,81836,logoff
2025-09-15 09:34:04,7001,User logon notification,81857,logon
