date,start_time,end_time,duration_hours,session_id,session_type,is_wbso,source_type
2025-07-27,10:30:00,10:35:00,0.08,ses_0159,short_session,True,real
2025-07-27,11:55:00,14:00:00,2.08,ses_0160,short_session,True,real
2025-07-27,22:15:00,00:00:00,-22.25,ses_0161,short_session,True,real
2025-07-28,00:00:00,00:10:00,0.17,ses_0162,short_session,True,real
2025-07-28,19:05:00,22:50:00,3.75,ses_0163,short_session,True,real
2025-07-29,15:15:00,00:00:00,-15.75,ses_0164,full_day,True,real
2025-07-30,00:00:00,11:00:00,9.92,ses_0165,full_day,True,real
2025-07-30,20:20:00,22:05:00,1.75,ses_0166,short_session,True,real
2025-07-31,17:45:00,22:30:00,4.75,ses_0167,half_day,True,real
2025-08-01,12:45:00,14:45:00,2.0,ses_0168,short_session,True,real
2025-08-01,17:15:00,00:00:00,-17.25,ses_0169,half_day,True,real
2025-08-02,00:00:00,00:40:00,0.67,ses_0170,short_session,True,real
2025-08-02,09:15:00,12:00:00,2.75,ses_0171,short_session,True,real
2025-08-02,14:05:00,16:45:00,2.67,ses_0172,short_session,True,real
2025-08-02,20:05:00,21:05:00,1.0,ses_0173,short_session,True,real
2025-08-02,22:00:00,23:30:00,1.5,ses_0174,short_session,True,real
2025-08-03,08:25:00,09:35:00,1.17,ses_0175,short_session,True,real
2025-08-03,13:20:00,14:15:00,0.92,ses_0176,short_session,True,real
2025-08-03,17:25:00,17:45:00,0.33,ses_0177,short_session,True,real
2025-08-03,18:30:00,19:25:00,0.92,ses_0178,short_session,True,real
2025-08-03,20:10:00,22:45:00,2.58,ses_0179,short_session,True,real
2025-08-04,07:00:00,07:40:00,0.67,ses_0180,short_session,True,real
2025-08-04,18:45:00,23:00:00,4.25,ses_0181,half_day,True,real
2025-08-05,19:25:00,19:30:00,0.08,ses_0182,short_session,True,real
2025-08-05,20:50:00,23:50:00,3.0,ses_0183,short_session,True,real
2025-08-06,21:40:00,22:30:00,0.83,ses_0184,short_session,True,real
2025-08-07,12:10:00,12:25:00,0.25,ses_0185,short_session,True,real
2025-08-07,17:25:00,22:30:00,5.08,ses_0186,half_day,True,real
2025-08-08,07:20:00,13:40:00,5.92,ses_0187,half_day,True,real
2025-08-08,17:30:00,19:00:00,1.5,ses_0188,short_session,True,real
2025-08-08,21:40:00,23:20:00,1.67,ses_0189,short_session,True,real
2025-08-09,08:00:00,12:15:00,4.25,ses_0190,half_day,True,real
2025-08-09,20:15:00,23:00:00,2.75,ses_0191,short_session,True,real
2025-08-10,13:50:00,16:00:00,2.17,ses_0192,short_session,True,real
2025-08-11,17:45:00,19:45:00,2.0,ses_0193,short_session,True,real
2025-08-11,21:15:00,23:25:00,2.17,ses_0194,short_session,True,real
