session_id,date,start_time,end_time,session_hours,activity_id,activity_name_nl,sub_activity_id,sub_activity_name_nl,sub_activity_estimated_hours,cumulative_hours,commit_count
ses_0156,2025-07-26,22:50:00,23:59:00,1.15,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,1.15,0
ses_0158,2025-07-27,08:50:00,10:10:00,1.3333333333333333,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,2.4833333333333334,0
ses_0159,2025-07-27,10:30:00,10:35:00,0.08333333333333333,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,2.566666666666667,0
ses_0160,2025-07-27,11:55:00,14:00:00,2.0833333333333335,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,4.65,0
ses_0161,2025-07-27,22:15:00,23:59:00,1.7333333333333334,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,6.383333333333334,0
ses_0162,2025-07-28,00:00:00,00:10:00,0.16666666666666666,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,6.550000000000001,0
ses_0163,2025-07-28,19:05:00,22:50:00,3.75,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,10.3,0
ses_0164,2025-07-29,15:15:00,23:59:00,8.733333333333333,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,19.03333333333333,0
ses_0166,2025-07-30,20:20:00,22:05:00,1.75,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,20.78333333333333,0
ses_0167,2025-07-31,17:45:00,22:30:00,4.75,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,25.53333333333333,0
ses_0168,2025-08-01,12:45:00,14:45:00,2.0,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,27.53333333333333,0
ses_0169,2025-08-01,17:15:00,23:59:00,6.733333333333333,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,34.266666666666666,0
ses_0170,2025-08-02,00:00:00,00:40:00,0.6666666666666666,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,34.93333333333333,0
ses_0171,2025-08-02,09:15:00,12:00:00,2.75,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,37.68333333333333,0
ses_0172,2025-08-02,14:05:00,16:45:00,2.6666666666666665,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,40.349999999999994,0
ses_0173,2025-08-02,20:05:00,21:05:00,1.0,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,41.349999999999994,0
ses_0174,2025-08-02,22:00:00,23:30:00,1.5,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,42.849999999999994,0
ses_0175,2025-08-03,08:25:00,09:35:00,1.1666666666666667,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,44.01666666666666,0
ses_0176,2025-08-03,13:20:00,14:15:00,0.9166666666666666,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,44.93333333333332,0
ses_0177,2025-08-03,17:25:00,17:45:00,0.3333333333333333,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,45.26666666666666,0
